HouseID	Address
1	68 Studley St
2	85 Turner St
3	25 Bloomburg St
4	18/659 Victoria St
5	5 Charles St
6	40 Federation La
7	55a Park St
8	16 Maugie St
9	53 Turner St
10	99 Turner St
11	129 Charles St
12	124 Yarra St
13	121/56 Nicholson St
14	17 Raphael St
15	98 Charles St
16	217 Langridge St
17	18a Mollison St
18	6/241 Nicholson St
19	10 Valiant St
20	403/609 Victoria St
21	2 Rich St
22	25/84 Trenerry Cr
23	106/119 Turner St
24	411/8 Grosvenor St
25	40 Nicholson St
26	123/56 Nicholson St
27	22 Park St
28	13/84 Trenerry Cr
29	45 William St
30	7/20 Abbotsford St
31	16 William St
32	16/11 Nicholson St
33	42 Henry St
34	250 Langridge St
35	16b Mollison St
36	78 Yarra St
37	196 Nicholson St
38	42 Valiant St
39	3/72 Charles St
40	1/1 Mayfield St
41	13/11 Nicholson St
42	138/56 Nicholson St
43	6/219 Nicholson St
44	52a William St
45	49 Park St
46	65/80 Trenerry Cr
47	119/52 Nicholson St
48	8b Park St
49	5/20 Abbotsford St
50	48 Abbotsford St
51	116/56 Nicholson St
52	159 Park St
53	49/84 Trenerry Cr
54	31 Turner St
55	17/1 Abbot St
56	166 Gipps St
57	60 Stafford St
58	11/205 Gipps St
59	47 Studley St
60	45 Yarra St
61	4/328 Johnston St
62	200 Nicholson St
63	82/84 Trenerry Cr
64	27 Charles St
65	22 Park St
66	40/80 Trenerry Cr
67	154 Halsey Rd
68	50 Bedford St
69	50 Bedford St
70	5 Harrington Rd
71	23 Hart St
72	1/80 Hawker St
73	1/37 Hillside Gr
74	2/49 McIntosh St
75	4/9 West Ct
76	1/36 York St
77	33 Bowes Av
78	89 Bowes Av
79	45 Laurence Av
80	54 Marshall Rd
81	36 Roberts Rd
82	11 Harrington Rd
83	2/252 Parer Rd
84	3/19 Hart St
85	81a Roberts Rd
86	2/62 Clydesdale Rd
87	3 Deidre Ct
88	3/24 Elstone Av
89	13 Etzel St
90	37a North St
91	1/43 Cameron St
92	1/69 Bowes Av
93	2/9 El Reno Cr
94	92 McNamara Av
95	145a Victory Rd
96	20 Creswell Av
97	241 Parer Rd
98	71 Bowes Av
99	2/40 Earl St
100	2/112 Parer Rd
101	180 Parer Rd
102	4/54 Hawker St
103	43 Hillside Gr
104	174 Parer Rd
105	138 Victory Rd
106	75 King St
107	6 Kittyhawk St
108	7 McNamara Av
109	478 Fullarton Rd
110	144 Marshall Rd
111	106 Parer Rd
112	1/41 Hillside Gr
113	3/7 South Rd
114	37 North St
115	10 Hilbert Rd
116	7/42 York St
117	110 Halsey Rd
118	2/13 North St
119	105a Victory Rd
120	117 Marshall Rd
121	34 Moorna Dr
122	2/89 Marshall Rd
123	33 North St
124	4/40 McNamara Av
125	5/93 McNamara Av
126	2/137 McNamara Av
127	1/46 Bowes Av
128	1/34 Elstone Av
129	49 Roberts Rd
130	85 Roberts Rd
131	22a Walters Av
132	1/145 Parer Rd
133	3/35 Walters Av
134	105 Kerferd Rd
135	85 Richardson St
136	112 Beaconsfield Pde
137	94 Graham St
138	14 Merton St
139	396 Montague St
140	9 Boyd St
141	75 Graham St
142	54 Brooke St
143	104 Richardson St
144	81 Richardson St
145	4a Mills St
146	1 Moubray St
147	114 Victoria Av
148	29 Faussett St
149	3 Herbert St
150	24 Kerferd Pl
151	5 Withers St
152	44 Draper St
153	2 Dundas Pl
154	23 Finlay St
155	31 Richardson St
156	4a Gatehouse La
157	60 Brooke St
158	140 Danks St
159	70 Barrett St
160	65 Graham St
161	1 Herbert Pl
162	364 Montague St
163	86 Mills St
164	28 Dinsdale St
165	90 Danks St
166	129 Kerferd Rd
167	97 Page St
168	36 Ashworth St
169	55 Withers St
170	18 Herbert St
171	10/140 Kerferd Rd
172	9 Merton Pl
173	55 Merton St
174	16 Dinsdale St
175	51 Graham St
